GISJOIN,YEAR,STUSAB,REGIONA,DIVISIONA,STATE,STATEA,COUNTY,COUNTYA,COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AIHHTLI,AITSA,ANRCA,CBSAA,CSAA,METDIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PCI,PUMAA,GEO_ID,BTTRA,BTBGA,TL_GEO_ID,NAME_E,AUO6E001,AUO7E001,AUO7E002,AUO7E003,AUO7E004,AUO7E005,AUO7E006,AUO7E007,AUO7E008,AUO7E009,AUO7E010,AUQ8E001,AUQ8E002,AUQ8E003,AUQ8E004,AUQ8E005,AUQ8E006,AUQ8E007,AUQ8E008,AUQ8E009,AUQ8E010,AUQ8E011,AUQ8E012,AUQ8E013,AUQ8E014,AUQ8E015,AUQ8E016,AUQ8E017,AUQ8E018,AUQ8E019,AUQ8E020,AUQ8E021,AUQ8E022,AUQ8E023,AUQ8E024,AUQ8E025,AURUE001,NAME_M,AUO6M001,AUO7M001,AUO7M002,AUO7M003,AUO7M004,AUO7M005,AUO7M006,AUO7M007,AUO7M008,AUO7M009,AUO7M010,AUQ8M001,AUQ8M002,AUQ8M003,AUQ8M004,AUQ8M005,AUQ8M006,AUQ8M007,AUQ8M008,AUQ8M009,AUQ8M010,AUQ8M011,AUQ8M012,AUQ8M013,AUQ8M014,AUQ8M015,AUQ8M016,AUQ8M017,AUQ8M018,AUQ8M019,AUQ8M020,AUQ8M021,AUQ8M022,AUQ8M023,AUQ8M024,AUQ8M025,AURUM001
"G1200860","2020-2024","FL",,,"Florida","12","Miami-Dade County","086",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12086",,,"12086","Miami-Dade County, Florida",2738356,2738356,725047,403015,6935,43196,561,241747,1317855,1264482,53373,1964800,58544,1740,590,1202,3547,7715,6212,9937,35795,9856,17642,34301,21093,23212,83990,474624,54719,75604,181420,187392,416258,163607,68005,27795,71753,"Miami-Dade County, Florida",-555555555,-555555555,9409,3658,1079,975,196,7009,12090,12431,3023,131,2650,427,233,284,611,1015,670,1197,2242,962,1452,1908,1366,1607,3260,7589,2121,2789,4133,3765,5814,3395,2583,1709,708
"G1200870","2020-2024","FL",,,"Florida","12","Monroe County","087",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12087",,,"12087","Monroe County, Florida",81860,81860,57200,6012,96,929,35,3853,13735,11450,2285,64618,527,0,12,195,12,21,6,37,89,257,420,551,717,425,1163,16108,1855,3557,8476,5230,15099,6836,1972,1053,87738,"Monroe County, Florida",-555555555,-555555555,1010,335,71,202,46,833,920,943,386,284,189,35,41,241,23,22,15,55,64,173,212,193,297,159,264,1200,372,600,586,573,875,525,346,201,4111
"G1200890","2020-2024","FL",,,"Florida","12","Nassau County","089",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12089",,,"12089","Nassau County, Florida",97859,97859,83225,5447,256,1315,23,1919,5674,3082,2592,72891,772,0,28,3,0,60,8,35,63,87,136,832,904,1195,1080,16446,3958,5978,8359,7027,16143,7379,1264,1134,89804,"Nassau County, Florida",-555555555,-555555555,641,404,218,219,31,552,766,651,381,256,225,35,27,5,35,50,13,50,74,84,85,298,260,475,262,993,572,626,753,711,1110,768,248,274,4034
"G1200910","2020-2024","FL",,,"Florida","12","Okaloosa County","091",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12091",,,"12091","Okaloosa County, Florida",216599,216599,155735,20101,691,7442,546,8592,23492,11010,12482,149498,1716,23,95,152,89,226,341,204,452,211,867,749,1302,1663,1967,29755,5977,13044,20594,18018,31378,16300,2620,1755,81998,"Okaloosa County, Florida",-555555555,-555555555,1216,720,266,574,449,965,1651,1331,1077,99,426,33,104,142,82,175,202,125,194,130,284,212,327,418,408,1509,598,1108,1023,1038,1557,1020,416,266,2764
"G1200930","2020-2024","FL",,,"Florida","12","Okeechobee County","093",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12093",,,"12093","Okeechobee County, Florida",40816,40816,28213,3147,142,313,0,2766,6235,5099,1136,28995,954,0,0,7,51,198,42,311,375,84,386,862,913,635,932,7786,2367,2289,3854,2361,3045,1206,259,78,57984,"Okeechobee County, Florida",-555555555,-555555555,682,246,94,102,32,785,786,800,286,221,233,32,32,28,76,129,45,131,167,66,147,203,231,210,219,746,364,358,497,342,418,319,104,57,4108
"G1200950","2020-2024","FL",,,"Florida","12","Orange County","095",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12095",,,"12095","Orange County, Florida",1471937,1471937,618799,293693,4450,79590,1385,145229,328791,274128,54663,1007057,20426,361,80,737,682,1773,1259,2186,5011,2945,5800,7391,11056,13154,22252,204471,33138,54722,111426,112242,253144,101040,26502,15259,79719,"Orange County, Florida",-555555555,-555555555,5112,3472,1023,1544,335,6391,8123,7245,3460,86,1756,319,75,313,337,562,343,559,904,640,931,1016,1180,1311,1735,4831,1718,2320,3569,3308,5524,3178,1597,1565,1200
"G1200970","2020-2024","FL",,,"Florida","12","Osceola County","097",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12097",,,"12097","Osceola County, Florida",427415,427415,161840,47181,2057,12324,258,100243,103512,89019,14493,287367,7360,192,16,95,187,628,625,864,943,1539,2301,2544,3184,3347,6427,66018,15008,19117,39025,32436,59702,20172,3531,2106,72637,"Osceola County, Florida",-555555555,-555555555,4766,2186,1522,713,196,5649,5564,5114,1946,141,1205,143,20,58,190,315,402,260,402,648,666,619,787,810,755,3217,1635,1934,2607,1860,2746,1602,645,394,1876
"G1200990","2020-2024","FL",,,"Florida","12","Palm Beach County","099",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12099",,,"12099","Palm Beach County, Florida",1533806,1533806,819376,283334,4132,43784,741,121305,261134,213503,47631,1131157,26614,762,290,1170,1915,3834,2584,4015,12743,3088,7297,10513,10192,12690,24612,222955,32719,63671,128773,102288,277864,118899,42146,19523,83581,"Palm Beach County, Florida",-555555555,-555555555,4282,2789,770,988,237,5255,5978,5759,2758,97,1856,255,161,385,403,767,513,721,1585,539,830,1047,1156,1319,1672,4910,1665,2452,3420,2940,4875,2864,2189,1126,1022
"G1201010","2020-2024","FL",,,"Florida","12","Pasco County","101",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12101",,,"12101","Pasco County, Florida",611444,611444,439280,38840,2088,20903,283,27707,82343,58217,24126,443636,6127,134,32,100,149,269,338,204,878,845,2805,3860,6753,5430,9678,122436,22135,32598,54983,44327,82461,34986,6740,5368,70492,"Pasco County, Florida",-555555555,-555555555,2428,1324,627,833,94,2322,3265,2846,2100,62,663,88,34,67,129,156,155,114,253,274,418,638,625,605,970,3185,1048,1468,2219,1804,2283,1808,962,735,1570
"G1201030","2020-2024","FL",,,"Florida","12","Pinellas County","103",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12103",,,"12103","Pinellas County, Florida",963481,963481,708809,92541,2454,35302,706,28154,95515,63261,32254,753975,10989,247,81,127,148,444,468,972,1606,1165,3303,4116,7421,9096,14061,159547,32599,54211,98819,77399,174933,71421,19651,11151,72646,"Pinellas County, Florida",-555555555,-555555555,2206,1890,539,775,176,2116,3174,2535,1900,38,1044,111,54,99,112,269,195,286,358,309,604,561,791,1090,1026,2700,1613,1965,2778,2252,3202,2356,1260,815,1000
"G1201050","2020-2024","FL",,,"Florida","12","Polk County","105",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12105",,,"12105","Polk County, Florida",790694,790694,438493,115178,3459,14302,330,107305,111627,84801,26826,548366,12543,291,99,416,412,1448,493,1171,5475,2095,4073,7641,7922,9378,12879,151785,29112,40348,76352,55813,86729,31509,5928,4454,65978,"Polk County, Florida",-555555555,-555555555,3224,1882,806,759,130,3889,4592,4318,2035,112,1323,217,68,195,231,424,205,322,893,454,701,824,854,843,1036,3353,1798,1524,2589,2024,2493,1553,588,699,1143
"G1201070","2020-2024","FL",,,"Florida","12","Putnam County","107",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12107",,,"12107","Putnam County, Florida",75164,75164,53323,11131,153,396,0,1310,8851,6306,2545,53876,548,8,0,49,15,243,91,250,234,341,806,1677,1579,1922,1757,16382,5193,3575,7197,4204,5499,1944,180,182,47934,"Putnam County, Florida",-555555555,-555555555,491,406,84,106,35,481,772,600,510,246,155,12,35,47,25,139,69,142,106,132,229,373,342,403,410,1273,644,444,786,516,700,426,78,100,2163
"G1201090","2020-2024","FL",,,"Florida","12","St. Johns County","109",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12109",,,"12109","St. Johns County, Florida",306934,306934,243237,15694,266,11538,134,6155,29910,20086,9824,220153,2116,53,0,91,0,111,18,117,178,157,476,1367,967,1268,2432,32975,7625,13365,24105,20651,69488,31034,7060,4499,109839,"St. Johns County, Florida",-555555555,-555555555,1611,977,91,558,113,1312,2157,1707,1120,258,593,57,35,66,35,113,31,101,144,95,170,486,292,551,530,2058,998,1303,1462,1485,2417,1285,945,702,3407
"G1201110","2020-2024","FL",,,"Florida","12","St. Lucie County","111",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12111",,,"12111","St. Lucie County, Florida",360500,360500,205243,77974,2001,7097,123,17809,50253,39430,10823,264508,4236,20,61,66,328,302,312,214,1372,1116,3800,2308,4490,4659,5173,66115,12641,20019,37228,29528,45555,18266,4011,2688,71457,"St. Lucie County, Florida",-555555555,-555555555,2640,1601,853,353,79,2168,3401,3124,1538,136,727,34,94,51,177,218,188,129,414,631,713,586,869,871,686,2853,1100,1383,2016,1717,2188,1338,644,607,2290
"G1201130","2020-2024","FL",,,"Florida","12","Santa Rosa County","113",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12113",,,"12113","Santa Rosa County, Florida",198472,198472,159336,11140,501,4033,421,4122,18919,8561,10358,140549,1142,15,14,0,34,46,100,71,379,229,631,835,1554,1700,2997,29804,7142,12213,18665,18044,28506,12746,2116,1566,91922,"Santa Rosa County, Florida",-555555555,-555555555,1337,618,218,589,96,864,1454,1233,829,198,364,26,21,35,46,63,100,72,238,132,249,249,335,342,795,1525,793,1110,1455,1061,1403,1010,401,412,2448
"G1201150","2020-2024","FL",,,"Florida","12","Sarasota County","115",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12115",,,"12115","Sarasota County, Florida",459547,459547,377661,18197,1418,8919,237,11229,41886,32387,9499,369342,2725,153,26,49,92,277,254,233,947,360,1891,1301,2364,2970,5698,79844,12499,25631,45649,35638,87514,44471,11604,7152,83416,"Sarasota County, Florida",-555555555,-555555555,1372,799,564,454,47,1257,1981,1774,868,141,482,78,28,49,87,153,124,204,321,147,420,262,380,509,882,2286,996,1726,1947,1520,2294,1843,1012,695,1422
"G1201170","2020-2024","FL",,,"Florida","12","Seminole County","117",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12117",,,"12117","Seminole County, Florida",481470,481470,284854,56660,934,26087,255,27924,84756,65317,19439,343922,3799,0,13,15,45,611,514,121,669,504,1065,1387,3397,3416,5122,62429,10988,22306,40864,39677,96315,36992,8306,5367,85761,"Seminole County, Florida",-555555555,-555555555,2250,1691,275,592,135,2580,3181,3014,1795,101,563,35,20,26,61,249,361,98,248,201,262,343,555,588,636,2308,932,1741,1860,1932,3009,1722,977,601,2077
"G1201190","2020-2024","FL",,,"Florida","12","Sumter County","119",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12119",,,"12119","Sumter County, Florida",143408,143408,122135,9305,254,1490,30,4249,5945,3720,2225,129083,1101,60,56,4,9,36,79,112,467,134,489,1168,1616,2262,1786,29612,5747,8851,16506,13385,27316,13700,3155,1432,76508,"Sumter County, Florida",-555555555,-555555555,572,479,87,237,36,611,706,471,577,295,354,77,89,8,20,43,63,77,168,70,221,362,426,484,476,2189,806,802,1135,1171,1843,1393,608,355,3168
"G1201210","2020-2024","FL",,,"Florida","12","Suwannee County","121",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12121",,,"12121","Suwannee County, Florida",45342,45342,33600,4406,111,302,0,1491,5432,3058,2374,32088,732,0,0,24,0,70,49,52,562,201,336,650,719,722,630,9919,2579,3263,3550,2688,3268,1746,177,151,56658,"Suwannee County, Florida",-555555555,-555555555,437,494,75,71,32,522,721,487,537,310,305,32,32,22,32,92,57,64,273,149,192,220,351,178,205,859,498,522,554,393,461,425,83,62,4147
"G1201230","2020-2024","FL",,,"Florida","12","Taylor County","123",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12123",,,"12123","Taylor County, Florida",21503,21503,15591,4142,105,132,108,292,1133,776,357,15620,380,0,9,0,30,18,0,21,41,95,94,292,371,468,500,4784,2129,1478,1402,925,1941,484,89,69,49073,"Taylor County, Florida",-555555555,-555555555,277,234,59,86,165,124,313,280,138,221,143,28,13,28,38,29,28,25,52,92,52,126,181,181,176,649,359,343,276,250,414,160,68,64,7315
"G1201250","2020-2024","FL",,,"Florida","12","Union County","125",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12125",,,"12125","Union County, Florida",15701,15701,11211,2337,0,38,7,143,1965,584,1381,11177,120,0,0,12,12,13,8,0,82,116,160,394,564,629,281,3061,1343,712,1481,948,824,334,48,35,64146,"Union County, Florida",-555555555,-555555555,153,268,24,29,12,74,333,140,278,85,51,24,24,16,18,21,13,24,57,57,76,111,179,159,114,294,233,162,223,186,188,117,43,40,6434
"G1201270","2020-2024","FL",,,"Florida","12","Volusia County","127",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12127",,,"12127","Volusia County, Florida",579622,579622,410175,61378,1529,11546,271,46606,48117,31307,16810,432641,5816,367,90,50,47,123,164,502,1290,1339,2574,3698,5465,5969,6862,108018,23013,42544,51995,49997,79634,29995,7471,5618,70044,"Volusia County, Florida",-555555555,-555555555,1973,1211,395,638,114,2821,3251,2476,1606,118,685,358,66,72,46,70,112,227,397,369,424,621,838,687,710,2734,1339,2092,2146,1911,2108,1567,989,611,1237
"G1201290","2020-2024","FL",,,"Florida","12","Wakulla County","129",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12129",,,"12129","Wakulla County, Florida",35387,35387,27541,4857,214,210,0,446,2119,1217,902,25584,629,78,0,0,0,0,78,6,74,71,133,419,529,499,449,7257,2187,1918,3156,2149,3775,1563,357,257,81895,"Wakulla County, Florida",-555555555,-555555555,357,217,78,103,32,212,363,347,228,247,194,66,32,32,32,32,77,14,66,54,82,123,163,228,198,736,341,383,445,365,641,350,223,133,7842
"G1201310","2020-2024","FL",,,"Florida","12","Walton County","131",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12131",,,"12131","Walton County, Florida",82948,82948,69331,3406,1089,920,25,2530,5647,2605,3042,60359,601,15,22,25,0,175,13,15,142,117,304,495,1018,1141,686,12825,3412,4359,7781,6068,13474,5223,1674,774,81986,"Walton County, Florida",-555555555,-555555555,742,438,588,179,47,707,781,580,478,325,224,19,20,43,35,121,22,19,93,80,187,133,393,375,180,1035,523,511,772,597,992,587,371,244,3439
"G1201330","2020-2024","FL",,,"Florida","12","Washington County","133",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US12133",,,"12133","Washington County, Florida",25529,25529,19668,3463,144,150,0,363,1741,747,994,18682,360,0,0,27,26,3,13,51,71,34,278,347,697,666,354,6427,1709,1502,2105,1867,1278,673,180,14,58210,"Washington County, Florida",-555555555,-555555555,260,194,60,45,28,161,322,269,206,130,132,28,28,30,44,6,17,40,47,29,118,100,251,201,138,503,250,282,332,348,235,152,76,17,6699
"G1300010","2020-2024","GA",,,"Georgia","13","Appling County","001",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13001",,,"13001","Appling County, Georgia",18493,18493,12668,3351,56,73,0,857,1488,970,518,12596,284,0,0,20,0,0,3,14,142,128,192,252,382,420,125,4727,723,1043,1781,950,760,504,93,53,46651,"Appling County, Georgia",-555555555,-555555555,156,266,63,91,23,361,432,375,231,206,171,23,23,40,23,23,5,18,152,93,135,130,151,155,67,513,198,324,306,217,210,205,57,40,6244
"G1300030","2020-2024","GA",,,"Georgia","13","Atkinson County","003",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13003",,,"13003","Atkinson County, Georgia",8337,8337,5269,1136,0,0,0,879,1053,572,481,5610,281,0,0,0,34,0,72,28,176,135,183,168,163,320,201,1483,392,287,818,367,294,104,21,83,42347,"Atkinson County, Georgia",-555555555,-555555555,344,143,20,20,20,299,379,327,185,167,140,20,20,20,44,20,64,30,117,107,94,71,90,135,126,273,141,87,198,138,123,83,24,64,8985
"G1300050","2020-2024","GA",,,"Georgia","13","Bacon County","005",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13005",,,"13005","Bacon County, Georgia",11109,11109,8139,1487,29,96,12,407,939,423,516,7329,155,0,0,14,0,48,9,4,37,42,13,207,173,262,72,2538,484,599,1354,556,391,198,165,8,44694,"Bacon County, Georgia",-555555555,-555555555,140,290,46,130,23,288,382,316,258,143,110,23,23,22,23,74,16,11,46,60,38,84,118,121,53,387,159,177,265,165,161,106,118,18,4178
"G1300070","2020-2024","GA",,,"Georgia","13","Baker County","007",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13007",,,"13007","Baker County, Georgia",2790,2790,1434,1028,14,168,0,56,90,44,46,2140,2,0,0,0,0,21,17,0,0,14,10,14,19,50,71,772,93,85,317,298,202,155,0,0,46012,"Baker County, Georgia",-555555555,-555555555,250,269,29,138,14,29,70,62,38,160,5,14,14,14,14,40,16,14,14,23,10,15,17,41,48,170,59,44,106,121,88,86,14,14,14727
"G1300090","2020-2024","GA",,,"Georgia","13","Baldwin County","009",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13009",,,"13009","Baldwin County, Georgia",43642,43642,22800,18040,31,759,153,596,1263,464,799,27781,449,11,0,0,0,12,0,62,113,33,168,560,503,731,948,7000,2337,1702,3863,2521,3628,1892,505,743,54403,"Baldwin County, Georgia",-555555555,-555555555,183,246,23,102,141,235,322,171,259,85,141,20,30,30,30,17,30,48,70,32,95,176,180,202,252,712,347,359,442,414,460,310,195,234,3703
"G1300110","2020-2024","GA",,,"Georgia","13","Banks County","011",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13011",,,"13011","Banks County, Georgia",19264,19264,16527,524,27,367,0,560,1259,875,384,13644,277,0,0,0,0,7,0,0,111,20,117,474,503,228,585,4112,719,1372,1438,1148,1696,677,111,49,77063,"Banks County, Georgia",-555555555,-555555555,117,217,27,188,23,240,312,263,176,87,118,23,23,23,23,15,23,23,65,29,62,196,203,110,247,500,221,272,350,294,256,191,62,42,8642
"G1300130","2020-2024","GA",,,"Georgia","13","Barrow County","013",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13013",,,"13013","Barrow County, Georgia",89886,89886,59843,12551,514,3627,0,4436,8915,5322,3593,59830,1665,8,8,0,23,50,39,44,488,154,627,639,971,938,1144,16359,4381,5355,8767,5473,8258,2863,722,854,80653,"Barrow County, Georgia",-555555555,-555555555,934,508,300,205,34,824,1074,803,824,20,326,14,12,34,24,54,33,50,195,100,207,178,300,246,247,926,481,552,653,485,728,441,210,509,4208
"G1300150","2020-2024","GA",,,"Georgia","13","Bartow County","015",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13015",,,"13015","Bartow County, Georgia",113113,113113,86287,12252,277,1203,505,3454,9135,5846,3289,77530,1105,7,1,29,102,235,17,108,358,306,588,1075,1483,1618,1814,21736,5823,5424,10294,6596,12606,4375,972,858,82243,"Bartow County, Georgia",-555555555,-555555555,1150,763,175,181,468,938,1205,1202,618,48,340,13,3,49,73,138,15,107,152,143,195,298,375,410,376,1320,779,552,943,747,843,567,235,285,4075
"G1300170","2020-2024","GA",,,"Georgia","13","Ben Hill County","017",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13017",,,"13017","Ben Hill County, Georgia",17089,17089,9595,6497,32,74,0,200,691,498,193,11647,296,0,0,0,0,0,0,0,97,93,245,191,427,276,246,4556,787,408,1349,1167,1049,372,70,18,41758,"Ben Hill County, Georgia",-555555555,-555555555,298,104,41,72,23,195,238,248,107,199,134,23,23,23,23,23,23,23,74,82,134,156,190,131,118,499,196,114,321,289,253,122,58,20,3419
"G1300190","2020-2024","GA",,,"Georgia","13","Berrien County","019",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13019",,,"13019","Berrien County, Georgia",18352,18352,14987,2054,31,22,28,227,1003,468,535,12759,364,0,0,38,32,60,6,18,73,99,103,180,436,419,284,3626,1044,868,1769,1331,1375,530,92,12,52876,"Berrien County, Georgia",-555555555,-555555555,166,159,31,42,51,139,218,184,148,92,144,23,23,47,43,58,10,25,86,66,53,87,138,150,122,384,257,213,278,204,224,171,67,14,5234
"G1300210","2020-2024","GA",,,"Georgia","13","Bibb County","021",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13021",,,"13021","Bibb County, Georgia",156578,156578,55291,86013,281,3590,73,4126,7204,2682,4522,103509,1660,30,0,81,72,145,192,70,264,240,908,1487,2641,2707,2502,26383,5984,6259,16087,8582,13869,8748,3075,1523,51234,"Bibb County, Georgia",-555555555,-555555555,749,1045,199,113,118,914,1023,642,803,169,372,30,34,86,89,66,102,80,210,114,243,377,426,507,481,1405,679,805,1288,788,925,780,495,374,2220
"G1300230","2020-2024","GA",,,"Georgia","13","Bleckley County","023",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13023",,,"13023","Bleckley County, Georgia",12430,12430,8486,3239,16,116,0,217,356,233,123,8184,157,29,0,0,0,0,0,21,176,14,32,77,203,314,88,2413,360,907,1217,559,1015,377,86,139,62008,"Bleckley County, Georgia",-555555555,-555555555,110,47,26,50,23,96,135,111,82,151,108,33,23,23,23,23,23,31,117,23,36,54,113,115,59,364,141,261,266,198,215,105,60,85,8633
"G1300250","2020-2024","GA",,,"Georgia","13","Brantley County","025",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13025",,,"13025","Brantley County, Georgia",18315,18315,16637,586,0,97,0,490,505,93,412,12979,77,0,0,0,0,0,0,0,73,288,244,227,738,321,131,3971,1267,1198,1478,1080,1120,486,269,11,58239,"Brantley County, Georgia",-555555555,-555555555,64,298,23,159,23,391,236,98,203,228,80,23,23,23,23,23,23,23,89,140,155,152,369,155,89,424,348,336,372,320,346,225,222,14,9961
"G1300270","2020-2024","GA",,,"Georgia","13","Brooks County","027",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13027",,,"13027","Brooks County, Georgia",16293,16293,9124,5531,8,235,0,440,955,352,603,11518,100,8,0,0,0,0,32,0,46,66,406,307,146,364,308,3741,1085,681,1636,772,1065,604,47,104,46807,"Brooks County, Georgia",-555555555,-555555555,392,271,16,148,23,372,400,317,252,201,83,13,23,23,23,23,44,23,38,70,202,157,75,139,182,351,243,175,340,192,267,176,36,87,5373
"G1300290","2020-2024","GA",,,"Georgia","13","Bryan County","029",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13029",,,"13029","Bryan County, Georgia",48263,48263,34054,6461,28,1270,20,1553,4877,2374,2503,30382,630,0,0,0,0,0,4,17,37,82,114,276,223,483,360,6125,1170,2441,4811,2631,6968,3172,403,435,103408,"Bryan County, Georgia",-555555555,-555555555,338,644,41,219,31,593,881,603,667,202,276,30,30,30,30,30,8,27,52,47,80,140,140,223,186,702,266,522,589,530,685,487,145,209,8398
"G1300310","2020-2024","GA",,,"Georgia","13","Bulloch County","031",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13031",,,"13031","Bulloch County, Georgia",82683,82683,51440,23278,560,1195,43,1325,4842,1907,2935,47184,540,7,50,14,0,22,27,30,154,150,353,534,758,1077,1027,10247,2504,3168,7074,4125,9410,3987,691,1235,58810,"Bulloch County, Georgia",-555555555,-555555555,291,513,253,174,52,409,768,494,694,51,203,11,69,21,34,30,43,47,116,126,164,174,274,265,215,1011,409,534,719,531,709,603,206,367,2738
"G1300330","2020-2024","GA",,,"Georgia","13","Burke County","033",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13033",,,"13033","Burke County, Georgia",24470,24470,12340,11077,26,122,0,79,826,222,604,15891,193,77,0,0,0,43,16,29,26,53,366,536,503,466,567,4638,970,760,2383,1808,1813,566,57,21,53014,"Burke County, Georgia",-555555555,-555555555,227,298,25,132,27,91,287,176,248,187,106,40,27,27,27,59,24,31,24,34,148,209,226,226,324,523,282,208,353,457,393,228,51,27,3683
"G1300350","2020-2024","GA",,,"Georgia","13","Butts County","035",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13035",,,"13035","Butts County, Georgia",26496,26496,17046,6497,125,68,0,258,2502,843,1659,18478,295,0,0,0,0,0,0,16,54,121,224,534,862,476,293,6248,1531,1405,2392,1366,1494,818,260,89,69241,"Butts County, Georgia",-555555555,-555555555,209,587,151,65,27,206,579,128,594,207,148,27,27,27,27,27,27,13,44,74,142,172,237,177,141,547,337,309,387,260,310,262,147,69,7885
"G1300370","2020-2024","GA",,,"Georgia","13","Calhoun County","037",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13037",,,"13037","Calhoun County, Georgia",5498,5498,1878,3209,12,24,0,74,301,159,142,4178,102,0,0,0,7,12,0,0,30,74,71,202,201,92,92,1082,695,163,604,208,292,216,35,0,46940,"Calhoun County, Georgia",-555555555,-555555555,75,184,24,30,20,47,159,155,66,109,93,20,20,20,11,13,20,20,41,43,45,86,75,63,46,146,135,55,120,82,92,84,26,20,11345
"G1300390","2020-2024","GA",,,"Georgia","13","Camden County","039",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13039",,,"13039","Camden County, Georgia",56970,56970,39791,9542,102,1036,14,1388,5097,1934,3163,37101,311,18,8,20,98,4,0,79,131,59,50,41,646,441,433,8789,2224,3483,7415,3742,5728,2574,504,303,74378,"Camden County, Georgia",-555555555,-555555555,447,602,60,165,24,435,654,322,612,201,167,26,12,26,111,9,34,66,105,72,43,35,213,164,181,762,443,551,908,472,604,492,166,109,4646
"G1300430","2020-2024","GA",,,"Georgia","13","Candler County","043",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13043",,,"13043","Candler County, Georgia",11043,11043,6554,2538,390,64,0,503,994,567,427,7280,234,0,11,0,0,0,0,0,109,7,220,287,150,102,129,2098,453,465,1348,501,611,388,61,106,49581,"Candler County, Georgia",-555555555,-555555555,186,214,388,58,23,235,374,316,192,164,148,23,16,23,23,23,23,23,84,18,144,124,76,73,97,286,115,156,271,176,172,160,56,133,5151
"G1300450","2020-2024","GA",,,"Georgia","13","Carroll County","045",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13045",,,"13045","Carroll County, Georgia",124569,124569,85134,23096,1111,1060,0,3181,10987,5806,5181,79764,975,0,56,0,119,207,166,20,236,571,1283,1059,2559,2586,1492,21527,4712,5322,11461,6419,11710,5172,1455,657,73714,"Carroll County, Georgia",-555555555,-555555555,997,851,561,208,34,802,1188,910,917,64,293,34,81,34,100,121,178,27,164,296,441,257,482,603,293,1206,608,618,890,705,964,597,373,189,2711
"G1300470","2020-2024","GA",,,"Georgia","13","Catoosa County","047",,,,,,,,,,,,,,,,,,,,,,,,,,"0500000US13047",,,"13047","Catoosa County, Georgia",68634,68634,60605,946,209,1045,41,1402,4386,1535,2851,48318,758,0,0,0,23,0,244,93,109,140,258,467,975,1063,841,11833,2907,4797,7679,4425,7251,3340,858,257,74639,"Catoosa County, Georgia",-555555555,-555555555,365,257,189,160,51,561,539,468,327,220,267,34,34,34,42,34,158,70,81,91,149,152,278,287,239,936,412,749,765,602,659,577,269,113,3589
